ticker,name,region,sector
SAP.DE,SAP,Germany,Technology
SIE.DE,Siemens,Germany,Industrials
ALV.DE,Allianz,Germany,Financials
DTE.DE,Deutsche Telekom,Germany,Communication
MBG.DE,Mercedes-Benz,Germany,Consumer Discretionary
BMW.DE,BMW,Germany,Consumer Discretionary
BAS.DE,BASF,Germany,Materials
BAYN.DE,Bayer,Germany,Health Care
MUV2.DE,Munich Re,Germany,Financials
DB1.DE,Deutsche Boerse,Germany,Financials
IFX.DE,Infineon,Germany,Technology
RHM.DE,Rheinmetall,Germany,Industrials
ADS.DE,Adidas,Germany,Consumer Discretionary
HEN3.DE,Henkel,Germany,Consumer Staples
BEI.DE,Beiersdorf,Germany,Consumer Staples
DHL.DE,DHL Group,Germany,Industrials
VOW3.DE,Volkswagen,Germany,Consumer Discretionary
ASML.AS,ASML,Netherlands,Technology
UNA.AS,Unilever,Netherlands,Consumer Staples
INGA.AS,ING,Netherlands,Financials
PHIA.AS,Philips,Netherlands,Health Care
ADYEN.AS,Adyen,Netherlands,Financials
WKL.AS,Wolters Kluwer,Netherlands,Industrials
HEIA.AS,Heineken,Netherlands,Consumer Staples
ASM.AS,ASM International,Netherlands,Technology
PRX.AS,Prosus,Netherlands,Consumer Discretionary
SHELL.AS,Shell,Netherlands,Energy
NESN.SW,Nestle,Switzerland,Consumer Staples
NOVN.SW,Novartis,Switzerland,Health Care
ROG.SW,Roche,Switzerland,Health Care
UBSG.SW,UBS,Switzerland,Financials
ZURN.SW,Zurich Insurance,Switzerland,Financials
ABBN.SW,ABB,Switzerland,Industrials
CFR.SW,Richemont,Switzerland,Consumer Discretionary
SIKA.SW,Sika,Switzerland,Materials
LONN.SW,Lonza,Switzerland,Health Care
GIVN.SW,Givaudan,Switzerland,Materials
IBE.MC,Iberdrola,Spain,Utilities
SAN.MC,Santander,Spain,Financials
BBVA.MC,BBVA,Spain,Financials
ITX.MC,Inditex,Spain,Consumer Discretionary
TEF.MC,Telefonica,Spain,Communication
REP.MC,Repsol,Spain,Energy
FER.MC,Ferrovial,Spain,Industrials
ENEL.MI,Enel,Italy,Utilities
ENI.MI,Eni,Italy,Energy
ISP.MI,Intesa Sanpaolo,Italy,Financials
UCG.MI,UniCredit,Italy,Financials
G.MI,Generali,Italy,Financials
STLAM.MI,Stellantis Milan,Italy,Consumer Discretionary
LDO.MI,Leonardo,Italy,Industrials
RACE.MI,Ferrari,Italy,Consumer Discretionary
PRY.MI,Prysmian,Italy,Industrials
